Country,Project,Main_fuel,Other_fuels,Location,Status,Capacity,Began_operations,Owner,Capital,CompanyHQ,Shareholders,Notes,Links,Latitude,Longitude,capacity_old,Fuel_test
Anguilla,Corito,Diesel,,Corito Bay,active,19,1985,Anguilla Electric Company Limited,state-owned,"The Valley, Anguilla",,,https://www.anglec.com/about.php,18.2022957,-63.054535,19.0,Diesel
Antigua & Barbuda,Crabbs Peninsula,Diesel,,Crabbs,active,50.9,1971,Antigua Power Company Limited,private,St Johns,,,,17.1242686,-61.76047,50.9,Diesel
Antigua & Barbuda,Planta Black Pine,Diesel,,Black Pine,active,27,1996,Antigua Power Company Limited,private,St Johns,,,,,,27.0,Diesel
Antigua & Barbuda,Friars Hill,Diesel,,Friars Hill,active,13,1965,Antigua Public Utilities Authority,state-owned,St Johns,,,,17.1363225,-61.838535,13.0,Diesel
Antigua & Barbuda,Wadadli,Diesel,,Crabbs,halted,30,2011,Antigua Public Utilities Authority,state-owned,St Johns,,,,17.1275758,-61.754977,30.0,Diesel
Argentina,Central Termoeléctrica Río Turbio,coal,,"Río Turbio, Santa Cruz",En construcción,240,,YCRT - Yacimiento Carbonífero Río Turbio,Estatal,Ciudad de Buenos Aires,Estatal,,https://www.ycrt.gob.ar/yacimientoypuntaloyola/#usina,-51.5445,-72.2348,,
Argentina,Generación Costanera,Natural gas,coal,Ciudad Autónoma de Buenos Aires,active,1982,1/9/83,ENEL Argentina,private,Ciudad de Buenos Aires,private,,https://www.enel.com.ar/es.html,-34.626,-58.3393,1982.2,coal
Argentina,San Nicolás,coal,Natural gas,"San Nicolás, Buenos Aires",active,644,1/4/65,AES Argentina Generación S.A.,private,"San Nicolás de los Arroyos, Provincia de Buenos Aires",private,,https://www1.aesargentina.com.ar/,-33.3562,-60.1729,644.0,coal
Argentina,Central Bahía Blanca (Piedra Buena),coal,,"Bahía Blanca, Buenos Aires",active,620,12/6/05,Pampa Energía S.A.,private,Ciudad de Buenos Aires,private,,https://ri.pampaenergia.com/nuestros-actives/electricidad/generacion/cpb/,-38.7872,-62.2536,620.0,coal
Argentina,Puerto Nuevo,Natural gas,coal,Ciudad Autónoma de Buenos Aires,active,589,1/5/65,Central Puerto S.A.,private,Ciudad de Buenos Aires,private,,https://www.centralpuerto.com/es/,-34.5754,-58.3788,589.0,coal
Argentina,Central Térmica Güemes,Natural gas,,"General Güemes, Salta",active,361,1/3/93,Pampa Energía S.A.,private,Ciudad de Buenos Aires,private,,https://ri.pampaenergia.com/nuestros-actives/electricidad/generacion/ctg/,-24.6894,-65.0425,361.0,coal
Argentina,Sorrento,Natural gas,,"Rosario, Santa Fe",active,226,1/2/62,Albanesi S.A.,private,Ciudad de Buenos Aires,private,,http://www.albanesi.com.ar/en_central_termica_sorrento.php,-32.9053,-60.6807,226.0,coal
Argentina,Pilar Zanichelli,Natural gas,,"Río Segundo, Córdoba",active,216,1/3/71,EPEC,state-owned,"Córdoba, Córdoba",state-owned,,https://www.epec.com.ar/,-31.6662,-63.8344,216.0,coal
Argentina,Necochea,Natural gas,,"Necochea, Buenos Aires",active,206,1/6/68,Centrales de la Costa Atlántica S.A.,private,"La Plata, Provincia de Buenos Aires",private,,https://www.centralesdelacosta.com.ar/,-38.5785,-58.7108,206.0,coal
Argentina,Nuevo Puerto,Natural gas,coal,Ciudad Autónoma de Buenos Aires,active,1218,10/6/05,Central Puerto S.A.,private,Ciudad de Buenos Aires,private,,https://www.centralpuerto.com/es/,-34.5721,-58.3835,1217.7,Gas
Argentina,Dock Sud,Natural gas,other,"Avellaneda, Buenos Aires",active,872,1/1/99,Central Dock Sud S.A.,private,"Avellaneda, Provincia de Buenos Aires",private,,https://www.cdssa.com.ar/,-34.6533,-58.342,872.3,Gas
Argentina,Central Termoeléctrica Manuel Belgrano,Natural gas,other,"General Güemes, Salta",active,868,1/7/08,Central Puerto S.A.,private,Ciudad de Buenos Aires,private,,https://www.centralpuerto.com/es/lugares/termoelectrica-manuel-belgrano-s/,-24.6894,-65.0425,868.2,Gas
Argentina,Central Termoeléctrica Timbúes,Natural gas,other,"San Lorenzo, Santa Fe",active,865,1/7/08,Central Termoeléctrica José de San Martín (TMS),private,"Timbúes, Santa Fe",private,,http://www.tsm.com.ar/,-32.5778,-60.791,865.1,Gas
Argentina,Central Térmica Genelba,Natural gas,other,"Marcos Paz, Buenos Aires",active,674,1/7/97,Pampa Energía S.A.,private,Ciudad de Buenos Aires,private,,https://ri.pampaenergia.com/nuestros-actives/electricidad/generacion/ctgeba/,-34.9027,-58.7334,673.6,Gas
Argentina,Central Térmica de Ciclo Combinado Salta,Natural gas,other,"General Güemes, Salta",active,643,1/4/99,AES Argentina Generación S.A.,private,"San Nicolás de los Arroyos, Provincia de Buenos Aires",private,,https://www1.aesargentina.com.ar/,-24.7456,-65.0513,643.0,Gas
Argentina,Central Térmica Ensenada de Barragán,Natural gas,,"Ensenada, Buenos Aires",active,567,,Pampa Energía S.A. - YPF S.A.,private,Ciudad de Buenos Aires,private,,https://pampaenergia.com/,-34.8597,-57.9557,567.0,Gas
Argentina,Vuelta de Obligado,Natural gas,coal,"San Lorenzo, Santa Fe",active,560,,Central Puerto S.A.,private,Ciudad de Buenos Aires,private,,https://www.centralpuerto.com/es/,-32.5807,-60.7903,560.0,Gas
Argentina,Luján de Cuyo,Natural gas,coal,"Luján de Cuyo, Mendoza",active,550,1/1/88,Central Puerto S.A.,private,Ciudad de Buenos Aires,private,,https://www.centralpuerto.com/es/,-33.0551,-68.981,549.8,Gas
Argentina,Central Térmica Loma de la Lata,Natural gas,other,"Confluencia, Neuquén",active,540,1/5/99,Pampa Energía S.A.,private,Ciudad de Buenos Aires,private,,https://ri.pampaenergia.com/nuestros-actives/electricidad/generacion/ctll/,-38.5127,-68.6048,540.0,Gas
Argentina,Central Térmica Guillermo Brown,Natural gas,,"Tres de Febrero, Buenos Aires",active,524,,AES Argentina Generación S.A.,private,"San Nicolás de los Arroyos, Provincia de Buenos Aires",private,,https://www1.aesargentina.com.ar/,-34.6268,-58.5438,524.0,Gas
Argentina,Agua del Cajón,Natural gas,,"Confluencia, Neuquén",active,479,1/4/97,Capex S.A.,private,"Vicente López, Provincia de Buenos Aires",private,,https://www.capex.com.ar/,-38.9368,-68.3556,479.2,other
Argentina,Pilar Bicentenario,Natural gas,other,"Río Segundo, Córdoba",active,467,1/3/10,EPEC,private,"Córdoba, Córdoba",private,,https://www.epec.com.ar/,-31.6651,-63.8314,467.0,Gas
Argentina,Central Térmica Tucumán,Natural gas,other,"Leales, Tucumán",active,438,1/3/98,YPF S.A.,mixed,Ciudad de Buenos Aires,mixed,,,-26.9955,-65.166,438.0,Gas
Argentina,Central Térmica San Miguel de Tucumán,Natural gas,other,"Leales, Tucumán",active,397,1/5/99,YPF S.A.,mixed,Ciudad de Buenos Aires,mixed,,,-26.9955,-65.166,396.6,Gas
Argentina,Ex Central Buenos Aires,Natural gas,other,Ciudad Autónoma de Buenos Aires,active,321,,ENEL Argentina,private,Ciudad de Buenos Aires,private,,https://www.enel.com.ar/es.html,-34.627,-58.3382,321.0,Gas
